step,stage,loss,dprime_intra,dprime_inter,n_pass_blocks,advanced,regressed
200,1,0.026793,4.6527,0.0000,0,0,0
300,1,0.010121,4.6527,0.0000,0,1,0
400,2,0.022913,4.6527,0.0000,0,0,0
500,2,0.008898,4.6527,0.0000,0,1,0
600,3,0.058501,0.0000,0.0000,0,0,0
700,3,0.033730,0.0000,0.0000,0,0,0
800,3,0.021058,0.0000,0.0000,0,0,0
900,3,0.021970,0.0000,0.0000,0,0,0
1000,3,0.012275,0.0000,0.0000,0,0,0
1100,3,0.014265,0.0000,0.0000,0,0,0
1200,3,0.009993,0.0000,0.0000,0,0,0
1300,3,0.015675,0.0000,0.0000,0,0,0
1400,3,0.007352,0.0000,0.0000,0,0,0
1500,3,0.316901,0.0000,0.0000,0,0,0
1600,3,0.014007,0.0000,0.0000,0,0,0
1700,3,0.009579,0.0000,0.0000,0,0,0
1800,3,0.007293,0.0000,0.0000,0,0,0
1900,3,0.006614,0.0000,0.0000,0,0,0
2000,3,0.005862,0.0000,0.0000,0,0,0
2100,3,0.005455,0.0000,0.0000,0,0,0
2200,3,0.005974,0.0000,0.0000,0,0,0
2300,3,0.012568,0.0000,0.0000,0,0,0
